Name,Fat (g),Carbs (g),Protein (g),Calories (kcal),Serving Name,Single Serving (g),Type
Edamame,4.7,9.5,16.9,148,bowl(s),75,Beans
Black Beans,0.6,14.7,7.1,104,can(s),240,Beans
Bulgur,0.3,80,3.1,375,portion(s),100,Beans
Cannellini beans,0.4,16.8,5.8,100,can(s),420,Beans
Chickpeas,2.3,13,7,113,can(s),240,Beans
Dried red lentils,1.5,43,21,306,bag(s),400,Beans
Groene Split Erwten,2,61,22,359,portion(s),100,Beans
Houmous,21.4,9.6,7.4,271,container(s),200,Beans
Houmous homemade,8.438842975,9.376033058,5.260330579,159.375,50 grams,50,Beans
Kidney Beans,0.5,14.7,7.7,106,can(s),255,Beans
"lentils (canned, uitgelekt)",0.4,12,6.1,86,can(s),240,Beans
Limabonen,0.5,21,8.2,137,portion(s),100,Beans
Limabonen courgette ui citroen,0,0,0,100,portion(s),100,Beans
White Beans,0.7,14,8,106,jar(s),480,Beans
Aardappelen Kruimig,0,17,2,80,portion(s),100,Carbs
Amstel Bier,0,3,0.5,40,bottle(s),300,Carbs
Antica Cantina Maïs en Tarwe Tortillas,4.9,50,8.8,284,taco(s),25,Carbs
Antica Cantina Witte Maïs Tortillas,1.9,33,3.8,167,taco(s),25,Carbs
Basmati rice,0.5,78,8.8,355,portion(s),100,Carbs
Beschuit,6.9,68.9,13.7,396,beschuitje,10,Carbs
Bounty,24.6,57.8,4.1,470,Bar(s),28.5,Carbs
Bread,1.7,43.6,9.5,238,slice(s),35,Carbs
Bread Roll (Bol),2.3,39.5,11.2,238,roll(s),50,Carbs
Buckwheat,3.4,72,13,390,portion(s),70,Carbs
corn & wheat tortillas small santa maria,5.6,50,7.7,295,portion(s),28,Carbs
Couscous,2.9,57,23,364,portion(s),100,Carbs
Flour,1,76,10,364,portion(s),100,Carbs
Frikandelbroodje albert heijn,22,9.7,13,346,portion(s),140,Carbs
Go-Tan Udon Noodles,1,75.5,9.6,355,portion(s),100,Carbs
Gyoza Hanabi veg & chicken,3.4,26,5.9,157,portion(s),100,Carbs
hartige taartdeeg koopmans,6.4,46,7,275,slice(s),45,Carbs
Havermout,1.4,12,2.4,67,portion(s),75,Carbs
Hollandia Natural Toast Crackers,1,79,11,375,cracker(s),2.4,Carbs
Jam,0.2,55.4,0.4,231,portion(s),10,Carbs
Jumbo Baguette Wit,1,49.9,7.2,241,baguette(s),150,Carbs
Jumbo Kaas Croissant,20,26,8.8,321,croissant(s),90,Carbs
Jumbo Naturel Tortilla,6,52.6,8.7,307,wrap(s),40,Carbs
Jumbo Oven Croissants,18.6,32.4,8,340,croissant(s),40,Carbs
Jumbo Soba Noodles,0.9,72.4,14.4,358,portion(s),75,Carbs
Jumbo stokboord knoflookboter,12,40,8.1,305,baguette(s),175,Carbs
Jumbo Tortilla Mini,5.9,52.4,8.6,305,wrap(s),22,Carbs
Knolselderij,0,5,2,38,knol(len),450,Carbs
krentebol,1.2,25.4,4.2,268,kleine krentebol,40,Carbs
leffe blond,0,5.4,0,85,glass(s),500,Carbs
Maizena,0,86,0.4,355,portion(s),10,Carbs
Maki sushi daily,8.6,17.9,8.6,183,6 pieces,138,Carbs
Mcvities digestive puur,24.3,61.1,6,496,portion(s),16,Carbs
Medium Fries McDonalds,16,41,3.9,329,portion(s),100,Carbs
Mexican style Chili Beans,0.6,11,6.2,86,can(s),410,Carbs
Mihoen,1,83,7.1,370,portion(s),62.5,Carbs
Naan,5.7,50,9.7,291,portion(s),90,Carbs
Nachos,20,65,6.3,479,bag(s),185,Carbs
Nigiri sushi daily,4.9,22.3,9.4,171,6 pieces,120,Carbs
Oatmeal,6.7,59.5,13.2,371,portion(s),40,Carbs
Oven Bun,1.3,45.4,8.6,238,bun(s),70,Carbs
ovenfriet,3.4,23.7,2.5,139,portion(s),200,Carbs
Paneermeel,2.7,71,12,365,portion(s),60,Carbs
Pasta (Fusilli),1.2,72,11.5,352,portion(s),100,Carbs
Poffertjes Jumbo,17.3,31.3,5.6,305,portion(s),100,Carbs
Potato,0.1,17,2,77,portion(s),100,Carbs
Pretzels,3.4,73,13,381,portion(s),100,Carbs
prosecco,0,2,0,70,glass(s),100,Carbs
Quinoa,6.1,64,14,381,portion(s),70,Carbs
Red Wine,0,2.6,0.1,85,glass(s),150,Carbs
rijstewafel,3.2,77.3,8.7,380,waffle(s),6.5,Carbs
Rosti rondjes,7.5,22,2.1,169,rondje(s),30,Carbs
schuddebuikjes/ speculaas,19,68,6,478,portion(s),20,Carbs
Soepstengels,12,69,3,435,portion(s),20,Carbs
Sweet Potato,0.1,21.1,2,90,potato(s),114,Carbs
Sweet Potato Glass Noodles,0,88,0,360,portion(s),100,Carbs
tacoshells,19,62,6.4,459,shell(s),12,Carbs
Tortillas Guanajuato,3,48,5,206,taco(s),16.66666667,Carbs
Wasa Vezelrijk ,5,46,13,334,cracker(s),10,Carbs
Wasa Volkoren,2,58,10,332,cracker(s),10,Carbs
White wine,0,2.6,0.1,81,glass(s),150,Carbs
Whole Grain Tortilla,5.6,46.6,9.2,289,wrap(s),40,Carbs
Witbier,0,3,0.5,50,portion(s),100,Carbs
Wok Noodles,22.4,60.3,9.2,490,portion(s),62,Carbs
Bitterbal,12.4,21.4,8.3,240,Bitterbal,25,Chips/Sweets
Cheetos (mexico),35.6,53,7.2,561,bag(s),160,Chips/Sweets
gefrituurde kroket,11.6,14.6,11,200,1 kroket,100,Chips/Sweets
gesneden marmercake (jumbo),22.5,48.6,6.4,420,piece(s),45,Chips/Sweets
Gevulde koek,15.7,60.2,6.2,410,large piece(s),100,Chips/Sweets
kano´s,14.6,60.8,5.6,400,piece(s),47,Chips/Sweets
koffiebroodje,11,47,6.4,318,piece(s),105,Chips/Sweets
Lay's Naturel Chips,30,53,6.1,508,bag(s),300,Chips/Sweets
Nutella,30.9,57.5,6.3,539,large scoop)s',50,Chips/Sweets
Rijstevlaai HEMA,11,26,4,222,portion(s),85,Chips/Sweets
rozijnen stercakejes (lidl),21.4,60,5.8,453,cake,40,Chips/Sweets
Tony Chocolonely melkchocolade,33.2,51.9,51.9,545,small piece(s),10,Chips/Sweets
almond milk,1.1,0,0.5,15,portion(s),300,Dairy
Becel,70,0,0,619,portion(s),10,Dairy
Becel margarine,45,0.5,0.5,404,portion(s),10,Dairy
Biogarde Roer Yoghurt,3.5,3.5,3.5,60,beaker(s),500,Dairy
brie,28,0.5,21,333,portion(s),50,Dairy
Butter,82,1,0.6,744,portion(s),10,Dairy
Callebaut dark chocolate,30,31,8.5,544,portion(s),100,Dairy
Cheese,31,0,24,381,slice(s),20,Dairy
cottage cheese,4.3,3.4,11,100,portion(s),100,Dairy
Crème fraiche,30,2.9,2.5,292,container(s),200,Dairy
Feta,51,0.4,8.9,497,jar(s),200,Dairy
Feta Cheese,21,4.1,14,264,portion(s),100,Dairy
Full Fat Yoghurt,3.5,3.5,3.5,60,beaker(s),500,Dairy
goat cheese bettine,21.1,3,15.8,272,portion(s),30,Dairy
Grated cheese,29.2,2.4,24.3,367,bag(s),175,Dairy
Greek Yoghurt,10,4.2,3.4,122,portion(s),100,Dairy
Greek Yoghurt 0.1% fat,0.1,4,6,43,portion(s),100,Dairy
Halfvolle Melk,1.5,4.6,3.7,47,glass(s),200,Dairy
Huttenkase,3.7,1.6,12,88,portion(s),100,Dairy
Jumbo Belegen Kaas 48+,33,0,25,407,slice(s),30,Dairy
Jumbo Feta Kaas 43+,24.6,1,16.2,290,portion(s),100,Dairy
Jumbo Verse Ongeklopte Slagroom,35,3.1,2.2,336,can(s),250,Dairy
Kookroom 7% vet,0.5,5.3,3,96,pack(s),250,Dairy
Magere Kwark,0,4.6,8.5,52,portion(s),100,Dairy
Milk,1.8,4.6,3.6,49,glass(s),200,Dairy
Mozerella,18,2,17,238,ball(s),125,Dairy
Mozerella Light,8.5,1,19,157,ball(s),125,Dairy
Old Amsterdam Voorgesneden Borrelblokjes,33,22.9,26,401,cube(s),6,Dairy
Parmigiano Reggiano DOP,30,0,32,402,portion(s),100,Dairy
Philadelphia Creame Cheese,22,4,5.4,233,portion(s),100,Dairy
Philadelphia Creame Cheese Light,11,5.2,7.2,150,portion(s),100,Dairy
Ricotta ,12,6,8,164,container(s),100,Dairy
Slagroom,30,3.3,2.3,292,container(s),250,Dairy
Sour Cream,10,3.3,3.1,116,cup(s),125,Dairy
Volle Melk,3.6,4.6,3.6,65,glass(s),200,Dairy
Yoghurt,1.6,4.4,4.4,50,beaker(s),500,Dairy
Apple,0.2,14,0.3,52,apple(s),150,Fruit
Banana,0.3,23,1.1,89,banana(s),140,Fruit
Banana-Orange Smoothie,0,11,0.8,49,bottle(s),500,Fruit
bloedsinaasappel,1,7.9,0.8,51,orange(s),90,Fruit
Blueberries (frozen),0,11,0.7,52,portion(s),50,Fruit
kiwi,0.2,10.3,1,80,kiwi(s),110,Fruit
Mandarin,0,12,1,47,mandarin(s),100,Fruit
Mixed Forest Fruits (Frozen),0.2,6.9,0.9,55,portion(s),100,Fruit
Orange,0.2,10.4,0.7,45,portion(s),140,Fruit
Orange Juice,10,0.2,0.7,44,glass(s),250,Fruit
Raspberry (frozen),0,4.5,1.4,29,portion(s),250,Fruit
AH Maaltijdsalade Hollandse Garnalen,4.2,3.6,3.6,69,portion(s),400,Meal
AH togo Mexican Wrap,6.3,23,6.2,179,wrap(s),145,Meal
Basmati Coconut-Lemongrass,2.9,31,3.7,165,pack(s),200,Meal
Bitterballen,23,18,11,300,bitterbal(len),20,Meal
"California maki (AH, 6 pcs)",4.5,26,4,160,portion(s),140,Meal
Cheeseburger,13.3,22.8,16.5,282,portion(s),100,Meal
Crispy Chicken McDonalds,40,85,35,844,burger(s),100,Meal
Doritos Cool American,26,57,6.6,499,portion(s),100,Meal
Dürum Döner,13.3,79,16.5,626,portion(s),100,Meal
Fried Dumpling,7.2,45.3,17.2,323.3,dumpling(s),75,Meal
Fried Rice,4.1,45,5.5,238,portion(s),100,Meal
Getir Gyoza,7.1,23.7,6.3,184,dumpling(s),23,Meal
havermoutpap met amandelen,3.967409471,7.493036212,3.059331476,83.95264624,serving(s),360,Meal
Jumbo Bapao,5.1,39.4,7.5,233,bun(s),120,Meal
Jumbo Gerookte Zalm Roomkaas,22.8,1.7,14,268,portion(s),75,Meal
Jumbo Lasagna Bolognese,7.4,13.8,7,152,pack(s),400,Meal
Jumbo Maaltijdsalade Kip,7.7,10.5,5.7,136,portion(s),450,Meal
Jumbo Maaltijdsalade Kip Caesar,8.7,7.4,7,138,portion(s),450,Meal
Jumbo Maaltijdsalade Kip Curry,8,4.5,4.1,110,portion(s),350,Meal
Kaasschnitzel,10.2,23.9,10.1,229,schnitzel(s),100,Meal
Kaasspiraal,15,27,9.6,284,roll(s),105,Meal
Lemper,5.2,29.6,8.2,200,lemper(s),100,Meal
Lumper,7.1,20,7.1,190,lumper(s),70,Meal
Mc Donalds Quarter Pounder,27,38,32,528,burger(s),100,Meal
Miscelaneous calories,0,0,0,100,calorie(s),1,Meal
New York Pizza 20cm Caprese Pizza,8,18,9,222,pizza(s),321,Meal
New York Pizza 20cm East Side Shoarma Pizza,9.6,24.2,10.9,227,pizza(s),315.0057274,Meal
New York Pizza Chicken Pops,5.4,24,16.9,216,portion(s),180,Meal
New York Pizza Crispy Nuggets,8.8,15,15.5,202,portion(s),150,Meal
Patatje met mayo Smullers,16,38,40,590,portion(s),100,Meal
Sugar,0,100,0,400,tsp(s),2,Meal
sushi daily maxi maki,6.7,22,7.5,180,portion(s),390,Meal
"sushi daily menu 2 (6 zalm nigiri, 6 calif roll avo zalm)",6.5,20,8.7,175,portion(s),308,Meal
Unox Erwtensoep,3.7,5.6,3.8,75,bag(s),570,Meal
Vodka,0,0,0,231,shot(s),30,Meal
Warm Gerookte Forel AH Excellent,42,0.4,12,428,portion(s),150,Meal
Willy Nacho Chili Con Carne,2.4,11.2,7.6,106,can(s),425,Meal
Popcorn mais,4,71,11,374,bag(s),400,Misc
Spices,0,0,0,280,teaspoon(s),2.3,Misc
Almonds,53.3,4.8,24.5,621,portion(s),20,Nuts/seeds
Chia seeds,31,42,17,486,100 grams,100,Nuts/seeds
flax seeds,42,29,18,533,100 grams,100,Nuts/seeds
pumpkin seeds,19,54,19,446,100 grams,100,Nuts/seeds
sesame seeds,50,23,18,572,100 grams,100,Nuts/seeds
sunflower seeds,51,26,21,584,100 grams,100,Nuts/seeds
walnuts,65,14,15,654,100 grams,100,Nuts/seeds
aioli,76,2.7,1.4,701,portion(s),10,Oil/Sauce
Boullion (cube),0.1,0.2,0.2,26,cube(s),10,Oil/Sauce
Chicken Boullion Cube,0.37,0.61,0.49,7.32,cube(s),82,Oil/Sauce
Coconut Cream,66,23.5,6.9,742,pack(s),50,Oil/Sauce
Coconut milk (18%),18,2.6,1.6,179,can(s),400,Oil/Sauce
Coconut milk (21%),21,1.9,1.3,198,can(s),400,Oil/Sauce
Coconut milk (6%),6,0.9,0.5,60,can(s),400,Oil/Sauce
dijon mosterd,11,3.5,7,151,tsp(s),5,Oil/Sauce
Fish Sauce,0,16.9,1.1,72,tbsp(s),15,Oil/Sauce
Fritesaus McDonalds,9.5,5,0.4,107,portion(s),100,Oil/Sauce
home made pesto,104,6,19,526,tbsp(s),15,Oil/Sauce
home made tzatziki,19.98,5.5125,4.4625,131,portion(s)`,20,Oil/Sauce
Jumbo Bloemenhoning,0,75,0,302,tsp(s),5,Oil/Sauce
Jumbo Boemboe Ajam Smoor,19.2,50.5,2.6,389,pack(s),95,Oil/Sauce
Ketchup (Heinz),0.1,23.2,1.2,102,tbsp(s),15,Oil/Sauce
Ketjap sauce,0,45,7.2,211,tbsp(s),15,Oil/Sauce
knoflooksaus zelfgemaakt,10.1375,4.225,7.6,138.375,portion(s),30,Oil/Sauce
Mayonaise,81.1,1.6,1.3,743,portion(s),10,Oil/Sauce
Mirin,0,74,0,296,tbsp(s),15,Oil/Sauce
Olive oil,91.4,0,0,823,tbsp(s),13,Oil/Sauce
Oyster sauce,0,43.1,3.1,186,tbsp(s),15,Oil/Sauce
Patak Mild Curry Paste,22.3,5.6,3.9,262,jar(s),165,Oil/Sauce
Pesto,46,9.8,4.7,482,jar(s),190,Oil/Sauce
Santa Maria Salsa Tomatillo,0,7.4,0.7,36,tbsp(s),15,Oil/Sauce
satesaus,13.5,22.2,7.5,245,portion(s),20,Oil/Sauce
Sesame oil,92,0,0,828,tbsp(s),15,Oil/Sauce
Soy sauce,0,3.2,10,77,tbsp(s),15,Oil/Sauce
Sunflower oil,91.9,0,0,884,tbsp(s),13,Oil/Sauce
tahini,54,21,17,594,tbsp(s),13.5,Oil/Sauce
Thai Red Curry Paste,0,15,3,88,jar(s),225,Oil/Sauce
Tikka Masala Kruidenpasta,22.9,7.8,3,270,jar(s),165,Oil/Sauce
Yoghurt Mayo,25,13.9,1.4,295,tbsp(s),15,Oil/Sauce
bacon,27.7,0,16.2,314,slice(s),10,Protein
